# basic.txt - 基础词汇（中英双语）
apple,苹果
farm,农场
tree,树木
water,水
soil,土壤
seed,种子
pest,害虫
flower,花朵
wheat,小麦
corn,玉米
rice,水稻
potato,土豆
tomato,番茄
carrot,胡萝卜
cabbage,卷心菜
lettuce,生菜
spinach,菠菜
cucumber,黄瓜
pumpkin,南瓜
watermelon,西瓜
strawberry,草莓
peach,桃子
pear,梨
grape,葡萄
orange,橙子
lemon,柠檬
banana,香蕉
mango,芒果
pineapple,菠萝
cherry,樱桃
plum,李子
apricot,杏
persimmon,柿子
jujube,枣
walnut,核桃
chestnut,栗子
hazelnut,榛子
almond,杏仁
peanut,花生
sunflower,向日葵
cotton,棉花
tea,茶叶
coffee,咖啡
sugarcane,甘蔗
tobacco,烟草
hemp,大麻
bamboo,竹子
willow,柳树
poplar,杨树
pine,松树
oak,橡树
maple,枫树
cherry blossom,樱花
rose,玫瑰
lily,百合
tulip,郁金香
orchid,兰花
chrysanthemum,菊花
peony,牡丹
jasmine,茉莉
osmanthus,桂花
gardenia,栀子
cactus,仙人掌
mushroom,蘑菇
grass,草
lawn,草坪
weeds,杂草
worm,蠕虫
insect,昆虫
bug,虫子
beetle,甲虫
butterfly,蝴蝶
bee,蜜蜂
wasp,黄蜂
ant,蚂蚁
fly,苍蝇
mosquito,蚊子
spider,蜘蛛
snail,蜗牛
slug,蛞蝓
bird,鸟
chicken,鸡
duck,鸭
goose,鹅
turkey,火鸡
pig,猪
cow,牛
sheep,羊
goat,山羊
horse,马
donkey,驴
mule,骡子
rabbit,兔子
dog,狗
cat,猫
fish,鱼
shrimp,虾
crab,蟹
lobster,龙虾
oyster,牡蛎
mussel,蚌
clam,蛤蜊
seaweed,海藻
kelp,海带
rain,雨
sun,太阳
cloud,云
wind,风
storm,风暴
drought,干旱
flood,洪水
frost,霜
snow,雪
ice,冰
temperature,温度
humidity,湿度
light,光
darkness,黑暗
day,白天
night,夜晚
season,季节
spring,春天
summer,夏天
autumn,秋天
winter,冬天
month,月份
week,周
hour,小时
minute,分钟
second,秒
time,时间
calendar,日历
